1529.9934719999999: 1536, 159: 240, regular, none, regular, regular, none
95.81145599999999: 96, 15: 15, regular, none, regular, regular, none
197.6241568: 192, 31: 31, regular, none, regular, regular, none
191.62291199999999: 192, 30: 30, regular, none, regular, regular, none
191.6357504: 192, 31: 31, regular, none, regular, regular, none
190.504992: 192, 30: 30, regular, none, regular, regular, none
192.75552: 192, 30: 30, regular, none, regular, regular, none
96.758832: 96, 15: 15, none, regular, none, regular, none
96.758832: 96, 15: 15, regular, none, none, regular, none
96.567888: 96, 15: 15, none, regular, none, regular, none
186.69791679999997: 192, 29: 29, regular, none, regular, regular, none
96.567888: 96, 15: 15, regular, none, regular, regular, none
194.67148799999998: 192, 30: 30, regular, none, regular, regular, none
97.529136: 96, 15: 15, regular, none, none, none, none
91.0271936: 96, 14: 14, regular, none, regular, regular, none
195.058272: 192, 30: 30, regular, none, regular, regular, none
97.529136: 96, 15: 15, regular, none, none, none, none
91.0271936: 96, 14: 14, regular, none, regular, regular, none
95.999952: 96, 15: 15, none, regular, none, none, none
577.130688: 576, 90: 90, none, none, none, none, regular
3071.998464: 3072, 480: 480, regular, none, none, none, none
96.949776: 96, 15: 15, regular, regular, none, none, none
194.284704: 192, 30: 30, regular, regular, none, none, none
96.949776: 96, 15: 15, none, none, regular, regular, none
90.6661952: 96, 14: 14, none, none, regular, regular, none
96.188448: 96, 15: 15, none, regular, regular, none, none
96.37776: 96, 15: 15, none, regular, regular, none, none
96.188448: 96, 15: 15, regular, none, none, none, none
99.91756799999999: 96, 15: 15, regular, regular, none, none, none
189.31199999999998: 192, 29: 29, regular, regular, none, none, none
97.33574399999999: 96, 15: 15, regular, none, none, none, none
96.188448: 96, 15: 15, regular, regular, none, none, none
192.75552: 192, 30: 30, regular, regular, none, none, none
96.188448: 96, 15: 15, regular, none, none, none, none
95.81145599999999: 96, 15: 15, regular, regular, none, none, none
191.24918399999999: 192, 30: 30, regular, regular, none, none, none
94.700064: 96, 15: 15, none, none, regular, regular, none
195.335712: 192, 31: 31, none, regular, regular, none, none
189.400128: 192, 30: 30, regular, none, none, none, none
96.188448: 96, 15: 15, regular, regular, none, none, none
192.75552: 192, 30: 30, regular, regular, none, none, none
96.188448: 96, 15: 15, regular, none, none, none, none
96.188448: 96, 15: 15, regular, regular, none, none, none
192.75552: 192, 30: 30, regular, regular, none, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
189.767328: 192, 30: 30, regular, regular, none, none, none
101.01340160000001: 96, 16: 16, none, none, regular, regular, none
94.700064: 96, 15: 15, none, none, regular, regular, none
94.883664: 96, 15: 15, none, regular, regular, none, none
94.883664: 96, 15: 15, none, regular, regular, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
101.01340160000001: 96, 16: 16, regular, regular, none, none, none
189.400128: 192, 30: 30, regular, regular, none, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
196.0929056: 192, 31: 31, regular, regular, none, none, none
95.252496: 96, 15: 15, regular, none, regular, none, none
95.252496: 96, 15: 15, regular, regular, none, none, none
190.877088: 192, 30: 30, regular, regular, none, none, none
95.252496: 96, 15: 15, none, none, regular, regular, none
190.877088: 192, 30: 30, none, regular, regular, none, none
195.7134656: 192, 31: 31, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
195.335712: 192, 31: 31, regular, regular, none, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
189.03456: 192, 30: 30, regular, regular, none, none, none
100.2378752: 96, 16: 16, regular, none, none, none, none
93.973008: 96, 15: 15, regular, regular, none, none, none
193.8381888: 192, 31: 31, regular, regular, none, none, none
93.792672: 96, 15: 15, none, none, regular, regular, none
100.0455168: 96, 16: 16, none, none, none, none, regular
93.792672: 96, 15: 15, none, regular, regular, none, none
93.792672: 96, 15: 15, none, none, none, regular, none
100.43023360000001: 96, 16: 16, none, regular, none, none, none
94.15334399999999: 96, 15: 15, regular, regular, none, none, none
188.668992: 192, 30: 30, regular, regular, none, none, none
100.43023360000001: 96, 16: 16, regular, none, none, none, none
